gift_key,payment_idx,card_key,gift_title,gift_place,gift_latitude,gift_longitude,gift_content,gift_cost,gift_date,gift_time
1,12038,282,매드포갈릭,매드포갈릭,37.697581,127.022525,에이드 무료 제공,100,2017-08-28,11:48:52
2,12750,107,홍콩반점,홍콩반점,37.691961,127.177673,찹쌀 탕수육 10% 할인,400,2017-12-11,13:34:47
3,1911,135,이비인후과,이비인후과,37.55802,126.869788,코세척 서비스(무료),1700,2018-01-18,11:29:46
4,6311,207,백다방,백다방,37.606673,127.027177,무료 토핑 추가,1900,2017-01-09,11:07:38
5,1819,109,오쭈,오쭈,37.709365,127.005836,치즈 퐁듀 1회 제공,700,2016-12-08,16:57:45
6,12433,55,꾼,꾼,37.617063,126.922235,"소주 2,000 쿠폰",1700,2016-12-23,09:20:25
7,9578,225,이디야커피,이디야커피,37.46084,126.957675,스마트 오더 사용시 10% 할인,200,2017-12-24,19:16:45
8,10552,184,반디앤루니스,반디앤루니스,37.68669,126.956888,도서 구매시 5% 할인,800,2017-06-16,23:36:13
9,9096,44,꾼,꾼,37.615494,127.062216,"소주 2,000 쿠폰",1400,2017-02-24,23:27:52
10,8956,42,홍콩반점,홍콩반점,37.671136,127.118996,찹쌀 탕수육 10% 할인,700,2016-02-28,20:51:30
11,12232,158,엔젤리너스,엔젤리너스,37.638702,126.969307,제조 음료 주문시 10% 할인,1200,2016-03-27,18:38:04
12,1155,20,구이가,구이가,37.591006,127.194283,한판 주문시 사이다 제공,700,2017-01-15,10:23:49
13,5094,236,버거킹,버거킹,37.546299,126.973857,와퍼주문시 5% 할인,1900,2017-08-24,12:52:51
14,11617,117,엔젤리너스,엔젤리너스,37.452173,126.955981,제조 음료 주문시 10% 할인,900,2017-02-06,15:21:53
15,7478,272,오쭈,오쭈,37.593953,127.083432,치즈 퐁듀 1회 제공,700,2018-01-24,23:23:56
16,12545,34,뚜레쥬르,뚜레쥬르,37.627626,126.885767,2000원 이상 5% 할인,500,2016-09-15,14:46:03
17,2960,179,버거킹,버거킹,37.656884,127.08843,와퍼주문시 5% 할인,900,2017-06-27,15:55:13
18,2964,156,버거킹,버거킹,37.615648,127.167556,와퍼주문시 5% 할인,1300,2016-04-12,17:05:44
