gift_key	card_key	gift_title	gift_place	gift_latitude	gift_longitude	gift_content	gift_cost	gift_date	gift_time
1	282	매드포갈릭	매드포갈릭	37.697581	127.022525	에이드 무료 제공	1300	2017-08-28	11:48:52
2	107	홍콩반점	홍콩반점	37.691961	127.177673	찹쌀 탕수육 10% 할인	500	2017-12-11	13:34:47
3	135	이비인후과	이비인후과	37.55802	126.869788	코세척 서비스(무료)	400	2018-01-18	11:29:46
4	207	백다방	백다방	37.606673	127.027177	무료 토핑 추가	400	2017-01-09	11:07:38
5	109	오쭈	오쭈	37.709365	127.005836	치즈 퐁듀 1회 제공	700	2016-12-08	16:57:45
6	55	꾼	꾼	37.617063	126.922235	소주 2,000 쿠폰	900	2016-12-23	09:20:25
7	225	이디야커피	이디야커피	37.46084	126.957675	스마트 오더 사용시 10% 할인	1700	2017-12-24	19:16:45
8	184	반디앤루니스	반디앤루니스	37.68669	126.956888	도서 구매시 5% 할인	900	2017-06-16	23:36:13
9	44	꾼	꾼	37.615494	127.062216	소주 2,000 쿠폰	400	2017-02-24	23:27:52
10	42	홍콩반점	홍콩반점	37.671136	127.118996	찹쌀 탕수육 10% 할인	1100	2016-02-28	20:51:30
11	158	엔젤리너스	엔젤리너스	37.638702	126.969307	제조 음료 주문시 10% 할인	400	2016-03-27	18:38:04
12	20	구이가	구이가	37.591006	127.194283	한판 주문시 사이다 제공	1200	2017-01-15	10:23:49
13	236	버거킹	버거킹	37.546299	126.973857	와퍼주문시 5% 할인	1900	2017-08-24	12:52:51
14	117	엔젤리너스	엔젤리너스	37.452173	126.955981	제조 음료 주문시 10% 할인	1900	2017-02-06	15:21:53
15	272	오쭈	오쭈	37.593953	127.083432	치즈 퐁듀 1회 제공	900	2018-01-24	23:23:56
16	34	뚜레쥬르	뚜레쥬르	37.627626	126.885767	2000원 이상 5% 할인	1400	2016-09-15	14:46:03
17	179	버거킹	버거킹	37.656884	127.08843	와퍼주문시 5% 할인	200	2017-06-27	15:55:13
18	156	버거킹	버거킹	37.615648	127.167556	와퍼주문시 5% 할인	1100	2016-04-12	17:05:44
19	28	교보문고	교보문고	37.545837	126.862357	도서 구매시 10% 할인	1300	2017-10-03	18:07:05
20	149	베스킨라빈스	베스킨라빈스	37.649279	127.006171	무료 사이즈업	500	2017-08-08	21:16:50
21	29	이비인후과	이비인후과	37.649627	127.032621	코세척 서비스(무료)	600	2017-06-08	09:45:57
22	124	닭한마리	닭한마리	37.4569	126.997261	칼국수 사리 무료 리필	1300	2017-11-24	15:15:07
23	292	엔젤리너스	엔젤리너스	37.628987	126.863095	제조 음료 주문시 10% 할인	1500	2016-11-17	16:33:56
24	11	한신포차	한신포차	37.504067	126.928986	닭발 주문시 주먹밥 증정	100	2016-08-20	13:35:55
25	234	원할머니보쌈	원할머니보쌈	37.443118	126.90553	족발 3,000 할인 쿠폰 제공	2000	2017-07-20	23:08:42
26	92	닭한마리	닭한마리	37.63938	126.951134	칼국수 사리 무료 리필	700	2016-07-01	12:00:26
27	2	이비인후과	이비인후과	37.483436	126.996573	코세척 서비스(무료)	1600	2016-08-03	13:20:57
28	49	연래춘	연래춘	37.699214	126.890521	현금 결재시 10% 할인	1900	2017-12-12	13:57:54
29	225	파리바게트	파리바게트	37.544477	126.980797	1000원 이상 10% 할인	1900	2016-03-18	10:20:40
30	231	이비인후과	이비인후과	37.687983	127.137712	코세척 서비스(무료)	1800	2016-11-10	16:33:29
31	1	정형외과	정형외과	37.571036	127.048997	정형외과의료지점	800	2016-09-03	12:07:57
32	114	오쭈	오쭈	37.471037	127.03678	치즈 퐁듀 1회 제공	1100	2017-06-25	09:23:58
33	117	파리바게트	파리바게트	37.519445	126.991468	1000원 이상 10% 할인	1400	2016-08-06	09:21:20
34	283	반디앤루니스	반디앤루니스	37.643475	127.00846	도서 구매시 5% 할인	1400	2017-04-02	17:27:20
35	248	이비인후과	이비인후과	37.548113	126.933198	코세척 서비스(무료)	400	2016-04-07	20:16:17
36	297	한신포차	한신포차	37.486554	127.186904	닭발 주문시 주먹밥 증정	1300	2016-10-26	14:01:41
37	281	꾼	꾼	37.550781	127.051098	소주 2,000 쿠폰	1500	2017-10-18	19:09:55
38	249	엔젤리너스	엔젤리너스	37.697734	126.953733	제조 음료 주문시 10% 할인	1300	2017-04-17	23:12:39
39	3	한신포차	한신포차	37.535702	127.008952	닭발 주문시 주먹밥 증정	900	2017-09-07	12:08:15
40	272	홍콩반점	홍콩반점	37.715412	127.121291	찹쌀 탕수육 10% 할인	800	2016-09-13	23:44:39
41	85	원할머니보쌈	원할머니보쌈	37.484881	127.14381	족발 3,000 할인 쿠폰 제공	300	2018-01-14	23:56:07
42	103	이디야커피	이디야커피	37.573372	126.876761	스마트 오더 사용시 10% 할인	300	2016-12-26	15:21:31
43	274	오쭈	오쭈	37.613052	126.872292	치즈 퐁듀 1회 제공	100	2018-01-05	10:20:34
44	109	백다방	백다방	37.578577	126.873564	무료 토핑 추가	700	2017-07-21	10:35:21
45	278	봄봄	봄봄	37.714026	127.124433	음료 주문시 쿠폰 도장 2개 추가	700	2017-08-31	20:25:26
46	235	쥬씨	쥬씨	37.4899	126.876875	무료 사이즈업	1200	2016-02-18	15:30:30
47	131	엔젤리너스	엔젤리너스	37.699815	127.006334	제조 음료 주문시 10% 할인	300	2017-05-11	15:08:12
48	47	백다방	백다방	37.606258	127.130713	무료 토핑 추가	1900	2018-01-17	23:45:13
49	190	닭한마리	닭한마리	37.49394	126.872845	칼국수 사리 무료 리필	1700	2017-07-06	23:36:31
50	4	리얼후라이	리얼후라이	37.716807	126.905802	크리스피 후라이드 10% 할인	100	2016-12-21	21:42:59
51	122	반디앤루니스	반디앤루니스	37.533362	127.087747	도서 구매시 5% 할인	1700	2018-01-07	10:38:12
52	99	연래춘	연래춘	37.479723	126.897135	현금 결재시 10% 할인	1600	2018-02-20	16:29:25
53	175	오쭈	오쭈	37.553644	126.9893	치즈 퐁듀 1회 제공	800	2017-04-07	18:03:15
54	186	봄봄	봄봄	37.472486	126.953951	음료 주문시 쿠폰 도장 2개 추가	1200	2018-03-31	20:14:10
55	164	봄봄	봄봄	37.668878	126.888591	음료 주문시 쿠폰 도장 2개 추가	800	2017-12-23	09:40:24
56	235	스시로로	스시로로	37.70731	127.196877	2pcs 무료 제공	1900	2018-01-18	16:48:29
57	81	쥬씨	쥬씨	37.440014	126.913401	무료 사이즈업	500	2017-01-03	20:00:01
58	165	베스킨라빈스	베스킨라빈스	37.488023	127.098277	무료 사이즈업	1000	2016-09-06	16:23:55
59	186	연래춘	연래춘	37.68053	126.973173	현금 결재시 10% 할인	1100	2016-10-14	13:36:49
60	292	정형외과	정형외과	37.648737	127.196517	정형외과의료지점	400	2016-07-20	10:05:51
61	93	뚜레쥬르	뚜레쥬르	37.531623	127.079425	2000원 이상 5% 할인	2000	2016-01-12	10:07:47
62	160	꾼	꾼	37.497498	127.05755	소주 2,000 쿠폰	2000	2018-03-27	15:02:17
63	267	스시진	스시진	37.472531	127.034	2pcs 무료 제공	1800	2017-09-14	17:52:07
64	74	꾼	꾼	37.450812	126.905532	소주 2,000 쿠폰	800	2017-11-29	20:16:45
65	162	이디야커피	이디야커피	37.57678	127.005311	스마트 오더 사용시 10% 할인	1500	2018-01-19	15:35:17
66	97	홍콩반점	홍콩반점	37.563094	127.194984	찹쌀 탕수육 10% 할인	1900	2016-09-05	12:13:59
67	64	반디앤루니스	반디앤루니스	37.448478	127.05715	도서 구매시 5% 할인	1200	2017-03-15	23:00:46
68	134	김덕후의곱창조	김덕후의곱창조	37.65348	126.902424	곱창 무한 리필 2,000 할인	2000	2017-05-24	11:26:02
69	57	이디야커피	이디야커피	37.617872	126.925699	스마트 오더 사용시 10% 할인	900	2016-04-01	09:29:41
70	221	백다방	백다방	37.574117	127.041802	무료 토핑 추가	1200	2016-05-14	12:57:18
71	68	파리바게트	파리바게트	37.622093	126.993203	1000원 이상 10% 할인	1100	2016-09-07	23:51:26
72	88	엔젤리너스	엔젤리너스	37.59002	126.964979	제조 음료 주문시 10% 할인	1100	2017-11-10	14:06:28
73	18	뚜레쥬르	뚜레쥬르	37.585239	127.074233	2000원 이상 5% 할인	200	2016-04-18	21:06:46
74	262	스시로로	스시로로	37.492772	126.968694	2pcs 무료 제공	300	2017-06-01	17:55:52
75	190	스시진	스시진	37.548197	127.0718	2pcs 무료 제공	100	2017-01-09	17:30:18
76	81	반디앤루니스	반디앤루니스	37.494299	126.924134	도서 구매시 5% 할인	900	2017-02-09	11:56:38
