gift_idx,gift_title,gift_content,gift_category,gift_limit,gift_image
1,롯데리아,롯데리아 음료M 제공,식사,2,lotteria
2,버거킹,와퍼주문시 5% 할인,식사,3,buggerking
3,반디앤루니스,도서 구매시 5% 할인,학습,1,bandi
4,교보문고,도서 구매시 10% 할인,학습,4,kyobo
5,엔젤리너스,제조 음료 주문시 10% 할인,카페,5,angel
6,동경야네,사케동 10% 할인,식사,3,tokyo
7,리얼후라이,크리스피 후라이드 10% 할인,식사,5,realfry
8,아웃닭,치즈스틱 2개 제공,식사,3,outdark
9,닭한마리,칼국수 사리 무료 리필,식사,5,darkone
10,이디야커피,스마트 오더 사용시 10% 할인,카페,4,ediya
11,약국,황사 마스크 증정(1매),의료,1,pharmacy
12,연래춘,현금 결재시 10% 할인,식사,3,yeonrae
13,백다방,무료 토핑 추가,카페,1,backdabang
14,홍콩반점,찹쌀 탕수육 10% 할인,식사,1,hongkongban
15,꾼,소주 2000원 할인,술,2,kkoon
16,한신포차,닭발 주문시 주먹밥 증정,술,4,hanshin
17,봄봄,음료 주문시 쿠폰 도장 2개 추가,카페,4,bombom
18,파리바게트,1000원 이상 10% 할인,카페,4,paris
19,뚜레쥬르,2000원 이상 5% 할인,카페,2,tlj
20,베스킨라빈스,무료 사이즈업,카페,5,baskin
21,오쭈,치즈 퐁듀 1회 제공,식사,5,ojju
22,원할머니보쌈,족발 3000원 할인,식사,2,onegrandma
23,김덕후의곱창조,세트 주문시 음료 무료,식사,1,kimduckhoo
24,이비인후과,코세척 서비스(무료),의료,3,othor
25,정형외과,정형외과의료지점,의료,5,orthopedics
26,쥬씨,무료 사이즈업,카페,4,jucy
27,구이가,한판 주문시 사이다 제공,식사,3,guiga
28,멘동,규동 5% 할인,식사,2,mendong
29,스시진,2pcs 무료 제공,식사,1,sushijin
30,스시로로,2pcs 무료 제공,식사,3,sushiroro
31,매드포갈릭,에이드 무료 제공,식사,1,madforgarlic
32,아웃백,스테이크 주문시 10% 할인,식사,2,outback
